email_id,source,subject,body,type,PhishID
23,account@service.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,"<p>Dear User,</p><p>&nbsp;</p><p>We have reason to believe that a fraudulent transaction has occured on your account in the amount of 221.67</p><p>&nbsp;</p><p>The recent order was for the product&nbsp;&ldquo;EFFORTINC Vintage Chandelier Deer Horn&rdquo; which is now being prepared for shipment.</p><p>&nbsp;</p><p><strong>Order Details:</strong></p><p>Order # 002-527657-2343090</p><p>Shipping: FREE Two-Day Shipping</p><p>Order total: $172.34</p><p>&nbsp;</p><p>Since our security team has identified this purchase as fraudulent, please click <a href=""http://amazan.com"" onclick=""return false;"">here</a>&nbsp;immediately to receive a full refund. &nbsp;Failure to do so will result in your primary card on file to be charged upon shipment and may lead to further losses.</p><p>&nbsp;</p><p>We require a reply within 24 hours to prevent such loss.</p><p>&nbsp;</p><p>Amazon.com Customer Service</p>",Phishing,657
24,account@chose.com,New tools,"<p>Dear Partner:&nbsp;</p><p>We are committed to providing the effects you need to help monitor your account.&nbsp;</p><p>Your account has been recently accessed from a different ip location. You are required to verify your account information to prevent account termination.&nbsp;</p><p>&nbsp;</p><p>Follow this link: <a target="""" href=""http://Chas-Security.html"" onclick=""return false;"">https://chaseonline.chase.com/Logon.aspx</a>&nbsp;</p><p>&nbsp;</p><p>Failure to comply will result in deletion.</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,675
25,offers@chase.com,New Mortgage Terms. Immediate Contact Needed!,"<p>Dear Loyal Customer:</p><p>&nbsp;</p><p>JP Morgan Chase Bank is offering a brand new 30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers looking to purchase a house or to refinance.</p><p>&nbsp;</p><p>To see if you qualify, or to talk to a JP Morgan Chase Bank loan specialist, please click the link below.</p><p>&nbsp;</p><p>We need to hear from you as soon as possible, in order to lock in these new terms.</p><p>&nbsp;</p><p><a target="""" href=""http://Chase-Security1.html"" onclick=""return false;"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a>&nbsp;</p><p>&nbsp;</p><p>We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,690
26,account@security.ebay.com,Important! Your account has been hacked!,"<p>Dear Customer,</p><p>&nbsp;</p><p>Recently, there has been attacks on our website, and some personal information has leaked out. I order to prevent this from happening to you, please login and change your crednetials, so that your information stays safe, as well as your money.</p><p>&nbsp;</p><p><a href=""http://www.ebay.com/change.password"" onclick=""return false;"">http://www.ebay.com/change.password</a></p><p>&nbsp;</p><p>Failure to do so can result in the retrieval of your personal information from a different source other than us here at Ebay.</p><p>&nbsp;</p>",Phishing,699
27,refund@irs.com,Receive Your Refund Early (Tax return 88380290),"<p>Good news! Your tax return (ID: 88380290) has been processed and your refund is now available!</p><p>&nbsp;</p><p>To claim your refund in a timely fashion,&nbsp;it is important that you verify your account details by visiting:&nbsp;<a href=""http://usa.irs.gov"" onclick=""return false;"">refund.irs.gov</a></p><p>&nbsp;</p><p>Failure to follow the above link may result in a misdirected payment. Thank you for your attention to this matter.</p><p>&nbsp;</p><p>PLEASE NOTE: Do not respond to unsolicited e-mails that claim to come from the IRS. The IRS does not use email to request personal information. The only secure method of communicating with the IRS is via the link&nbsp;above.</p>",Phishing,703
28,payments@usaa.bank.com,USAA Bank Incoming Payment,"<p>&nbsp;</p><p>To: Valued Customer<br>From: Robert Smith, Branch Manager</p><p>&nbsp;</p><p>Our records indicate that you have an incoming payment directed to this e-mail address.</p><p>&nbsp;</p><p>We are unable to process this payment to your account as your details have&nbsp;not been recently verified.</p><p>&nbsp;</p><p>Please attend to this issue as soon as possible; we may be unable to approve this payment after 10 days have lapsed.</p><p>&nbsp;</p><p>Click here to fix this transaction and view your current balance.</p><p>&nbsp;</p><p><a href=""http://www.USAAupdateaccount.com"" onclick=""return false;"">Update Your Account Details here</a></p><p>&nbsp;</p><p>Thank you for allowing us to serve you!</p><p>&nbsp;</p><p>Sincerely,</p><p>Robert Smith</p><p>Branch Manager</p><p>USAA Bank</p>",Phishing,715
29,return@whitehouse.com,Your email account may have been compromised (mail team announcement),"<p>We have detected anomalous activity stemming from your account. In particular, we have seen email related to your tax return (#88380290) that seem to be directed to a site outside the country.</p><p>&nbsp;</p><p>It&#39;s important that we re-establish your ownership of this account to prevent further damage. Please answer your security questions at this link:&nbsp;<a href=""http://whitehousse.gov"" onclick=""return false;"">security.database.org</a>&nbsp;so we can verify your identity.</p><p>&nbsp;</p><p>Your help in keeping our email system secure is greatly appreciated!</p><p>&nbsp;</p><p>Thank you,</p><p>Your IT support team</p>",Phishing,717
30,payments@usaa.bank.com,USAA Bank Verification Update Request,"<p>&nbsp;</p><p>To: Valued Customer</p><p>From: Robert Smith, Branch Manager</p><p>&nbsp;</p><p>I just wanted to touch base with you regarding a matter of some importance. &nbsp;</p><p>&nbsp;</p><p>Since you and I spoke last, it appears that a large deposit is waiting for you but we</p><p>have been unable to add the money to your account as we need an updated verification.</p><p>&nbsp;</p><p>Please verify your account immediately using the link below. &nbsp;Any delay may cause this deposit to</p><p>be refused. &nbsp;I know you will be disappointed if this happens.</p><p>&nbsp;</p><p>Click here to fix this transaction and view your current balance.</p><p>&nbsp;</p><p><a href=""http://www.dkjbv3.com"" onclick=""return false;"">Update Your Account Details here</a></p><p>&nbsp;</p><p>Hoping to speak with you again very soon!</p><p>&nbsp;</p><p>Sincerely,</p><p>Robert Smith</p><p>Branch Manager</p><p>USAA Bank, the &quot;Bank that Cares&quot;</p>",Phishing,726
31,offers@usaa.bank.com,"Signup for USA Banking Rewards program, Receive 200$ bonus today!","<p><strong>Hello Valued Customer,</strong></p><p>&nbsp;</p><p>&nbsp; &nbsp;Do to your loyal patrionage we are pleased to offer you membership in our Banking Rewards Program. Signing up takes just 5 minutes and you will recieve a 200$ bonus today! Follow the link below to obtain your membership today. Offer expires at the end of this business week, so hurry up and don&#39;t miss out!</p><p>&nbsp;</p><p><a target="""" href=""http://bakdetails.html"" onclick=""return false;"">s</a><a href=""http://usabank.com"" onclick=""return false;"">ign up here</a>&nbsp;</p><p>&nbsp;</p><p>Thank you,</p><p>USA Bank Team</p><p>Conditions of Use Privacy Notice &nbsp;1996-2022, USABANK.com, Inc. or its affiliates 11/10/2022</p>",Phishing,730
32,customer@reward.target.com,"Signup for Target Rewards program, Receive 200$ giftcard today!","<p><strong>Dear Valued Customer,</strong></p><p>&nbsp;</p><p>&nbsp; &nbsp;Do to your loyal patrionage we are pleased to offer you membership in our Target Redcard&nbsp;Rewards Program. Signing up takes just 5 minutes and you will recieve a 200$ giftcard today, usable at any Target store or online at <a href=""http://targat.com"" onclick=""return false;"">Target.com</a>! Follow the link below to obtain your membership today. Offer expires at the end of this&nbsp;week, so hurry up and don&#39;t miss out!</p><p>&nbsp;</p><p><a target="""" href=""http://Amazon-Security.html"" onclick=""return false;"">s</a><a href=""http://usabank.com"" onclick=""return false;"">ign up here</a>&nbsp;</p><p>&nbsp;</p><p>Thank you,</p><p>Your local Target Retailer</p><p>Conditions of Use Privacy Notice &nbsp;1996-2022, target.com, Inc. or its affiliates 11/10/2022</p>",Phishing,733
33,support@secure.paypal.com,Account Limitation- Resolve now!,"<p><strong>Dear Client-</strong></p><p>&nbsp;</p><p><strong>Your Account has limitation! You can resolve this now.</strong>&nbsp;</p><p>&nbsp;</p><p><strong>Dear Client&nbsp;</strong></p><p>It looks like someone else may have access to your account, so we have temporarily locked it to keep your personal informations in safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else is a violation of PayPals terms. It may also be illegal. To reset your account:&nbsp;</p><p>1-Click on the link <a href=""www.PayPal-Security.html"" onclick=""return false;"">www.PayPal-Security.html</a>.&nbsp;</p><p>2-Open the page in a browser window secure.&nbsp;</p><p>3-Follow the instructions.</p><p>&nbsp;</p><p>Sincerely,</p><p>Security Team</p>",Phishing,754
34,account@support.amazon.com,Amazon Web Services Account Suspended ,"<p><strong>Amazon Account suspended&nbsp;</strong></p><p>108-4596473-8009841 FF&nbsp;</p><p>&nbsp;</p><p>Hello,&nbsp;</p><p>Amazon was unable to confirm critical details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended as a result.&nbsp;</p><p>&nbsp;</p><p>Please verify&nbsp;your account details to confirm the payment information needed&nbsp;for your Amazon Web Services Account.&nbsp;</p><p><a href=""http://Amazon-Security.html"" onclick=""return false;"">Update and Verify Your Payment Method</a></p><p>&nbsp;</p><p>Failure to Update Payment Method by 02/01/2023 will result in <strong>complete deletion of account</strong>.</p><p>&nbsp;</p><p>Account Details&nbsp;</p><p>Account #108-4596473-8009841&nbsp;</p><p>&nbsp;</p><p>If you have any other questions please don&#39;t hesitate to contact customer service.&nbsp;</p><p>We hope we were able to be of assistance.</p><p>&nbsp;</p><p>Amazon IT Team,</p><p>Conditions of Use Privacy Notice &nbsp;1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022</p>",Phishing,755
35,offer@coupons.walmart.com,Walmart monthly coupon lottery,"<p>Account No: 108-455294-800125-MN</p><p>&nbsp;</p><p>Dear Walmart User,&nbsp;</p><p>&nbsp;</p><p>We at Walmart Online Services are happy to announce that you have been chosen as the &#39;User of the month&#39; lottery&nbsp;winner. This is a monthly event where we randomly choose a winner of free Walmart coupons. To access your coupons and add more tickets to next month&#39;s lottery, please visit the link below.&nbsp;</p><p>&nbsp;</p><p><a href=""http://walmert/rewards/coupons"" onclick=""return false;"">Walmart Reward Coupons</a></p><p>&nbsp;</p><p>Walmart Online Services,</p><p>17/11/2022</p>",Phishing,757
36,clietn@k9.security.com,Account Limitation- Resolve now!,"<p><strong>Dear Client-</strong></p><p>&nbsp;</p><p>Your Account has limitation! You need to resolve this issue right away!</p><p>&nbsp;</p><p>We are the Internet Security Team of K-9Securities Inc. We are here to keep you safe,but you must act fast. It looks like someone else may have access to your account, so we have temporarily locked it to keep your personal informations&nbsp;safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else is a violation of PayPals terms. It may also be illegal. To reset your account:&nbsp;</p><p>&nbsp;</p><p>1-Click on the link <a href=""mailto:security@k-9inc.com"" onclick=""return false;"">security@k-9inc.com</a>.&nbsp;</p><p>2-Open the page in a browser window secure.&nbsp;</p><p>3-Follow the instructions.</p><p>&nbsp;</p><p>For your Protection,</p><p><strong>Security Team</strong></p>",Phishing,759
37,offer@coupons.walmart.com,Walmart coupons,"<p>&nbsp;</p><p>Hey! It&#39;s Jane from work</p><p>&nbsp;</p><p>Walmart has a monthly coupon drawing. You should try entering! I get coupons almost every month.&nbsp;</p><p>&nbsp;</p><p><a href=""http://walmart1/rewards/coupons"" onclick=""return false;"">Walmart Reward Coupons</a></p><p>&nbsp;</p><p>Jane</p>",Phishing,765
