EmailID,Type,Sender,Subject,Body,Link,LinkText,sender_mismatch,request_credentials,subject_suspecious,urgent,offer,link_mismatch
11,phishing,account@micrsoft.com,Evaluations Reminder Message,"The following evaluations have been assigned to you. Go ahead and go to portal to evaluate these evaluations. LOGIN USING SECURE NETWORK FYI: THE login will time out after 60 minutes. Your answers will be lost if you do not click on the ""FINISH"" button before 60 minutes lapses. There is no prompt when your 60 minute login has expired. Please save all comments periodically and check your time. Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved.",http://www.9393nksbjdf.com,LOGIN USING SECURE NETWORK,1,1,0,1,0,1
12,phishing,account@micrsoft.com,Evaluations Assigned,"The following evaluations have been assigned to you. Use your current account and go to portal to view these evaluations. SIGN IN USING SECURE PORTAL The login will time out after 60 minutes. Your answers will be lost if you do not click on the ""FINISH"" button before 60 minutes lapses. There is no reminder when your 60 minute login has expired. Please save all comments often as well as check your time. Go ahead and send me any questions your need taken care of. Have a great day! Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved.",http://www.mydata.com,SIGN IN USING SECURE PORTAL ,0,1,0,1,0,1
13,phishing,notification@gmails.com,Unauthorized Access To Your Account Detected,"The following entry was recently addded to the security log for this account: Device: Windows Time: November 5, 1:50 PM Location: Tokyo, Japan Browser: Chrome 55.0 IP address: 22.81.171.44 If you don't recognize the above activity, you may go here to reset your credentials and check settings, Please respond within 48 hours to avoid losing access to your account,",http://erfr,here ,1,1,1,1,0,1
14,phishing,account@secure.paypal.com,Paypal Account Reminder,"This is a reminder that your account has been locked. Case id : 9000321-128. Login attempt from unknown device. Dear Paypal User, We have noticed some irregular activity on this account, and have taken steps to secure it by temporarily locking the account in question to keep any personal informations safe. Action is required in the next 24 hours to resolve this issue. Proceed by simply clicking the following link. If you have received this email in error, please disregard these instructions. If you have any questions, please feel free to contact our technical support department. Thank you for your understanding. 1. Click on the link PayPal-Security.com 2. Follow the instructions on the following page.",Payal-Security.html,PayPal-Security.com,0,0,0,1,0,1
15,phishing,account@secure.paypal.com,Account up for grabs,"This is a reminder that there's a paypal account up for grabs. Action is required in the next 24 hours if you'd like to receive this reward. Case id : 9000321-128. Login attempt from unknown device. Dear Employees, We have taken notice of your hard work, and decided to offer a reward in the form of a preloaded paypal account. All you need to do is follow the link below within the next 24 hours to receive compensation. 1. Click on the link PayPal-Security.com 2. Follow the instructions on the following page.",Payal-Security.html,PayPal-Security.com,1,0,0,1,1,1
16,phishing,notification@order.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,"Hey customer, Please click below to check the tracking status of your order. https://amazon.com/account",http://onlineShopping.com/youraccount,https://amazon.com/account,0,1,0,1,0,1
17,phishing,offer@jpmorgan.chase.com,Qualification for a New 30 Year Fixed Term Mortgage,"Dear Loyal Customer: We are excited to announce that JP Morgan Chase Bank is offering a brand new 30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers looking to purchase a house or to refinance! Our databases have shown that you are one of our preferred customer, and we would love to share this savings with you! To see if you qualify, or to talk to a JP Morgan Chase Bank loan specialist, please click the link below. https://chaseonline.com/promotional/30YearJumbo/qualification.aspx We look forward to serving all of your financial needs. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.",http://Chse-Security.html,https://chaseonline.com/promotional/30YearJumbo/qualification.aspx,1,0,0,0,1,1
18,phishing,account@usaa.bank.com,You're in default!,"Dear Customer: We have received notice that your loan is currently at high risk of default. We were unable to process your most recent payment to your account as your details have not been recently verified. Please click here to rectify this most urgent problem. If you do not verify your details today, this loan will be placed in default and sent to collections. Update Your Account Details here Thank you for your most urgent attention. Sincerely, USAA Bank",http://www.usadata.com,Update Your Account Details here,1,1,1,1,0,1
19,phishing,finance@jpmorgan.chase.com,Have you heard?!,"Hi Cousin! It has been a while since we talked since I have been going through some personal issues but I wanted to let you know some good news! I was finally able to get my house payments settled by refinancing through JP Morgan Chase's Jumbo 30 Year Fixed mortgage program! I can also get you a percentage off from a friend referral deal! The people were really friendly and helped quite a bit. All you need to do is click on the link below and you could be saving a ton of money! https://chaseonline.com/promotional/30YearJumbo/qualification.aspx We look forward to serving all of your financial needs. Ciao, Rosie",http://Chas-Security.html,https://chaseonline.com/promotional/30YearJumbo/qualification.aspx,1,0,0,0,1,1
20,phishing,tax@irs.refund.com,Your Tax Refund,"PLEASE DO NOT RESPOND TO THIS EMAIL We are writing to you because your federal Tax payment (ID: 88380290), recently sent is available for refund. For your security, new changes on the accounts listed above may be declined. If applicable, you should advise any Additional Card Member(s) on your account that their new changes may also be declined. For information on receiving your federal Tax payment and to receive your payment as soon as possible please click here Your prompt response regarding this matter is extremely important because failure to do so within a timely fashion will result in forfeiture of your tax payment. Sincerely, IRS Refund Team",http://www.gotax.com,please click here,1,0,1,1,0,1
21,phishing,tax@irs.refund.com,Your $2898.67 refund is awaiting your approval.,"This is your last chance to receive your IRS Federal Tax Refund for the 2021 fiscal year. In order to receive your tax refund you will need to go to the following site and fill out your details. IRS Tax Refund Receival Your prompt response regarding this matter is extremely important because failure to do so within 48 hours will result in forfeiture of your tax payment. Your refund amount is $2,898.67.",http://www.refundd.com,IRS Tax Refund Receival,1,1,1,1,0,1
22,phishing,account@it.amazon.com,Amazon - Please confirm your account information.,"Account suspended ! 108-4596473-8009841 FF Hello, We were unable to validate important details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended. To reinstate account, we need additional information. Please visit your account details to confirm the payment information for your account. Update Your Payment Method Account Details Account #108-4596473-8009841 Amazon IT Team Conditions of Use Privacy Notice 1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022",http://Amazon-Security.html,Update Your Payment Method,1,1,1,1,0,1
23,phishing,account@service.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,"Dear User, We have reason to believe that a fraudulent transaction has occured on your account in the amount of 221.67 The recent order was for the product ""EFFORTINC Vintage Chandelier Deer Horn"" which is now being prepared for shipment. Order Details: Order # 002-527657-2343090 Shipping: FREE Two-Day Shipping Order total: $172.34 Since our security team has identified this purchase as fraudulent, please click here immediately to receive a full refund. Failure to do so will result in your primary card on file to be charged upon shipment and may lead to further losses. We require a reply within 24 hours to prevent such loss. Amazon.com Customer Service",http://amazan.com,here,0,0,0,1,0,1
24,phishing,account@chose.com,New tools,"Dear Partner: We are committed to providing the effects you need to help monitor your account. Your account has been recently accessed from a different ip location. You are required to verify your account information to prevent account termination. Follow this link: https://chaseonline.chase.com/Logon.aspx Failure to comply will result in deletion. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.",http://Chas-Security.html,https://chaseonline.chase.com/Logon.aspx,1,1,0,1,0,1
25,phishing,offers@chase.com,New Mortgage Terms. Immediate Contact Needed!,"Dear Loyal Customer: JP Morgan Chase Bank is offering a brand new 30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers looking to purchase a house or to refinance. To see if you qualify, or to talk to a JP Morgan Chase Bank loan specialist, please click the link below. We need to hear from you as soon as possible, in order to lock in these new terms. https://chaseonline.com/promotional/30YearJumbo/qualification.aspx We look forward to serving all of your financial needs. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.",http://Chase-Security1.html,https://chaseonline.com/promotional/30YearJumbo/qualification.aspx,0,0,1,1,1,1
26,phishing,account@security.ebay.com,Important! Your account has been hacked!,"Dear Customer, Recently, there has been attacks on our website, and some personal information has leaked out. I order to prevent this from happening to you, please login and change your crednetials, so that your information stays safe, as well as your money. http://www.ebay.com/change.password Failure to do so can result in the retrieval of your personal information from a different source other than us here at Ebay.",http://www.ebay.com/change.password,http://www.ebay.com/change.password,0,1,1,1,0,1
27,phishing,refund@irs.com,Receive Your Refund Early (Tax return 88380290),"Good news! Your tax return (ID: 88380290) has been processed and your refund is now available! To claim your refund in a timely fashion, it is important that you verify your account details by visiting: refund.irs.gov Failure to follow the above link may result in a misdirected payment. Thank you for your attention to this matter. PLEASE NOTE: Do not respond to unsolicited e-mails that claim to come from the IRS. The IRS does not use email to request personal information. The only secure method of communicating with the IRS is via the link above.",http://usa.irs.gov,refund.irs.gov,0,1,1,1,0,1
28,phishing,payments@usaa.bank.com,USAA Bank Incoming Payment,"To: Valued Customer From: Robert Smith, Branch Manager Our records indicate that you have an incoming payment directed to this e-mail address. We are unable to process this payment to your account as your details have not been recently verified. Please attend to this issue as soon as possible; we may be unable to approve this payment after 10 days have lapsed. Click here to fix this transaction and view your current balance. Update Your Account Details here Thank you for allowing us to serve you! Sincerely, Robert Smith Branch Manager USAA Bank",http://www.USAAupdateaccount.com,Update Your Account Details here,0,1,0,1,0,1
29,phishing,return@whitehouse.com,Your email account may have been compromised (mail team announcement),"We have detected anomalous activity stemming from your account. In particular, we have seen email related to your tax return (#88380290) that seem to be directed to a site outside the country. It's important that we re-establish your ownership of this account to prevent further damage. Please answer your security questions at this link: security.database.org so we can verify your identity. Your help in keeping our email system secure is greatly appreciated! Thank you, Your IT support team",http://whitehousse.gov,security.database.org,1,1,1,1,0,1
30,phishing,payments@usaa.bank.com,USAA Bank Verification Update Request,"To: Valued Customer From: Robert Smith, Branch Manager I just wanted to touch base with you regarding a matter of some importance. Since you and I spoke last, it appears that a large deposit is waiting for you but we have been unable to add the money to your account as we need an updated verification. Please verify your account immediately using the link below. Any delay may cause this deposit to be refused. I know you will be disappointed if this happens. Click here to fix this transaction and view your current balance. Update Your Account Details here Hoping to speak with you again very soon! Sincerely, Robert Smith Branch Manager USAA Bank, the ""Bank that Cares""",http://www.dkjbv3.com,Update Your Account Details here,1,1,1,1,1,1
31,phishing,offers@usaa.bank.com,"Signup for USA Banking Rewards program, Receive 200$ bonus today!","Hello Valued Customer, Do to your loyal patrionage we are pleased to offer you membership in our Banking Rewards Program. Signing up takes just 5 minutes and you will recieve a 200$ bonus today! Follow the link below to obtain your membership today. Offer expires at the end of this business week, so hurry up and don't miss out! sign up here Thank you, USA Bank Team Conditions of Use Privacy Notice 1996-2022, USABANK.com, Inc. or its affiliates 11/10/2022",http://bakdetails.html,s,1,1,1,0,1,0
32,phishing,customer@reward.target.com,"Signup for Target Rewards program, Receive 200$ giftcard today!","Dear Valued Customer, Do to your loyal patrionage we are pleased to offer you membership in our Target Redcard Rewards Program. Signing up takes just 5 minutes and you will recieve a 200$ giftcard today, usable at any Target store or online at Target.com! Follow the link below to obtain your membership today. Offer expires at the end of this week, so hurry up and don't miss out! Thank you, Your local Target Retailer Conditions of Use Privacy Notice 1996-2022, target.com, Inc. or its affiliates 11/10/2022",http://targat.com,Target.com,0,1,0,0,1,1
33,phishing,support@secure.paypal.com,Account Limitation- Resolve now!,"Dear Client- Your Account has limitation! You can resolve this now. Dear Client It looks like someone else may have access to your account, so we have temporarily locked it to keep your personal informations in safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else is a violation of PayPals terms. It may also be illegal. To reset your account: 1-Click on the link www.PayPal-Security.html. 2-Open the page in a browser window secure. 3-Follow the instructions. Sincerely, Security Team",www.PayPal-Security.html,www.PayPal-Security.html,0,0,1,1,0,1
34,phishing,account@support.amazon.com,Amazon Web Services Account Suspended ,"Amazon Account suspended 108-4596473-8009841 FF Hello, Amazon was unable to confirm critical details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended as a result. Please verify your account details to confirm the payment information needed for your Amazon Web Services Account. Update and Verify Your Payment Method Failure to Update Payment Method by 02/01/2023 will result in complete deletion of account . Account Details Account #108-4596473-8009841 If you have any other questions please don't hesitate to contact customer service. We hope we were able to be of assistance. Amazon IT Team, Conditions of Use Privacy Notice 1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022",http://Amazon-Security.html,Update and Verify Your Payment Method,0,1,1,1,0,1
35,phishing,offer@coupons.walmart.com,Walmart monthly coupon lottery,"Account No: 108-455294-800125-MN Dear Walmart User, We at Walmart Online Services are happy to announce that you have been chosen as the 'User of the month' lottery winner. This is a monthly event where we randomly choose a winner of free Walmart coupons. To access your coupons and add more tickets to next month's lottery, please visit the link below. Walmart Reward Coupons Walmart Online Services, 17/11/2022",http://walmert/rewards/coupons,Walmart Reward Coupons,0,0,1,0,1,1
36,phishing,clietn@k9.security.com,Account Limitation- Resolve now!,"Dear Client- Your Account has limitation! You need to resolve this issue right away! We are the Internet Security Team of K-9Securities Inc. We are here to keep you safe,but you must act fast. It looks like someone else may have access to your account, so we have temporarily locked it to keep your personal informations safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else is a violation of PayPals terms. It may also be illegal. To reset your account: 1-Click on the link security@k-9inc.com. 2-Open the page in a browser window secure. 3-Follow the instructions. For your Protection, Security Team",mailto:security@k-9inc.com,security@k-9inc.com,1,0,1,1,0,1
37,phishing,offer@coupons.walmart.com,Walmart coupons,Hey! It's Jane from work Walmart has a monthly coupon drawing. You should try entering! I get coupons almost every month. Walmart Reward Coupons Jane,http://walmart1/rewards/coupons,Walmart Reward Coupons,0,0,0,0,1,1
38,phishing,account@support.amazon.com,Urgent - Amazon Web Services Account Suspended ,"Reference number: 108-4596473-8009841 FF Hello, Amazon was unable to confirm important details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended as a result. Please verify your account details to confirm the payment information needed for your Amazon Web Services Account. Updating your information will also ensure that you are protected from security attacks. Update and Verify Your Payment Method Failure to Update Payment Method by 02/01/2023 will result in complete deletion of account . Account Details Account #108-4596473-8009841 If you have any other questions please don't hesitate to contact customer service. If you have any questions about this particular email please include the reference number seen on the top of the email. Please do not reply to this e-mail directly. We hope we were able to be of assistance. Amazon IT Team, Conditions of Use Privacy Notice 1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022",http://Amazon-Security.html,Update and Verify Your Payment Method,1,1,1,1,0,1
39,phishing,jeremyp@gmail.com,Summer Internship Application,"Good morning! You may remember me from undergrad. I am currently pursuing my Masters' in Accounting at the Kelley School of Business at Indiana University.I know we haven't talked much, but I would appreciate if you took a look at my resume and tell me what you think. Here is the link to my CV online Thank you! Sincerely, Jeremy Paulson",http://www.gogle.resume.com,link to my CV online,0,0,0,0,0,1
40,phishing,ryanj@yahoo.com,Internship Application,"Hello, I am interested in your program and am submitting my resume here. I believe I am an excellent fit for the position. I hope you will consider me. Here is the link to my resume Thank you for your time! Sincerely, Ryan Jacobson",http://www.gogle.com,link to my resume,0,0,0,0,0,1
41,phishing,help@homeless.donate.com,Help Feed The Poor In Your Area,Hello! We are contacting you on half of the local community. We are a team that is gatherin gmoney to help feed the homeless in the city. Poverty is an ever increasing problem and every bit you donate will help. Please respond by clicking the link below. Click here to donate,http://www.donati0n.com,Click here to donate,0,1,0,0,0,1
42,phishing,account@secure.paypal.com,Your account has been accessed by an unauthorized device,"Your account has been accessed by an unauthorized device. Case ID : 9000321-128 Login attempt from unknown device. Dear Valued Customer, It looks like someone else may have access to your account. We have temporarily locked it to keep your personal information safe. To unlock your account, you will need to pass a security check and correctly answer your security questions. Note that attempting to access someone else's account is a violation of PayPal terms and agreements. It may also be illegal. To reset your account: 1-Click on the link PayPal-Security.html. 2-Open the page in a browser window secure. 3-Follow the instructions. Thank you. For questions and concerns, reply to this email with your case ID and your account name.",PayPai-Security.html,PayPal-Security.html,1,1,1,1,0,1
43,phishing,auntie@gmail.com,Your aunt,"Hi, I apologize for reaching you this way and for this manner. I am currently travelling in Georgia and was robbed of my purse. My wallet and phone were inside, so I have no other way of contacting anyone or paying for anything, including a way back to my hotel. I'm writing this from a public library that offers computers for use. Could I ask for your PayPal information so I can call an Uber to my hotel? My luggage is there, and the hotel staff should be able to help me return to the airport and contact the people I need to. Again, I apologize for asking this of you. Much love, Auntie",none,none,0,1,0,1,0,0
44,phishing,jeremyp@gmail.com,Job Application and Resume,"Hello, I was told by Carol in Human Resources to forward my information to you, my apologies if this was incorrect. I am currently pursuing my Masters' in Accounting at the Kelley School of Business at Indiana University. I am also pursuing my CPA following my completion of my degree. I have expertise in Microsoft Access, Excel, Word and Powerpoint, Telnet and Ethernet Configuration. I have uploaded my most recent resume here if you would please take a look. I greatly appreciate your time, I really look forward to possibly working together. I heard there were a lot of IU alums working here so I think I would fit in quite well. I can be reached at 617-514-5235 for any questions you have, please don't hesistate to call. Thank you and have a great day! - Jeremy Paulson",http://www.resumme.com,here,0,0,0,0,0,1
45,phishing,manager@gmail.com,work meeting,"to all employees, will have a meeting first thing in the morning. please review the notes for it and be ready to present your portion. thanks the boss man",http://www.cnbfdsmf.com,review the notes,0,0,0,0,0,1
46,phishing,jobs@work.home.com,"New work opportunity for you, don't delay!","Hello, You recently signed up to receive emails about local jobs that are a good fit for you. We have a few jobs that I think would be perfect for you, all you have to do is go to www.workfromhome.com. We look forward to seeing you on the site and getting you the oney your deserve! Sincerely, Work From Home",none,none,1,1,0,0,1,1
47,phishing,account@chose.com,Transfer Verification,"Hi Mrs. Smith, $1,000 transfer has been intiated to Mr. Smith's account. Please click to confirm the transacation. https://chaseonline.chase.com/Logon.aspx Thank you for being our customer. Sincerely, Jill Stampley JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.",http://Chase-Security.html,https://chaseonline.chase.com/Logon.aspx,1,1,0,0,0,1
48,phishing,account@chose.com,New Account Verification,"Hi Mrs. Smith, $183,000 transfer has been completed and new account has been opened as requested. Please click to review the terms of your new account. https://chaseonline.chase.com/Logon.aspx Thank you for being our customer. Sincerely, Jill Stampley JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.",http://Chase-Security.html,https://chaseonline.chase.com/Logon.aspx,1,1,0,0,0,1
49,phishing,bill@gmail.com,This is your new supervisor Bill,"Dear Sir or Madam: Hi I was informed that I would have to get in touch with you to get all of your info put into the new system. Sadly your current boss will be leaving the company shortly and I will eb taking his spot. I just need you to go to the page below and update your information. The deadline for the information update is one week from the date of this email. I look forward to getting to know you! Link Best Regards, Bill",http://www.g00gle.com,Link,0,1,0,1,0,0
50,phishing,samantha@gmail.com,"I'm trying to reach Mrs. Brown, I'm a old childhood friend","Hello, I was going through my yearbook and saw your picture and so many memories came flooding in. We went to elementary and middle school together in Baltimore. Anyway, I would love to reconnect, if you could email me back that would be awesome! Hugs, Samantha",none,none,0,1,0,0,0,0
51,phishing,david@gmail.com,I need HELP!,I am having some serious medical issues and could use your help cousin :(. Please donate to me on the page below and give me a call when I'm all better. Link!,http://www.dfnbk.com,Link!,0,1,0,1,0,1
52,phishing,offers@chase.com,Jumbo Loans Available Now! See if you qualify.,"Dear Loyal Customer: JP Morgan Chase Bank is offering a brand new 30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers looking to purchase a house or to refinance. This is a limited time offer only sent to our most loyal customers. To see if you qualify, or to talk to a JP Morgan Chase Bank loan specialist, please click the link below. https://chaseonline.com/promotional/30YearJumbo/qualification.aspx We look forward to serving all of your financial needs. If you have any questions, feel free to contact us! Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.",http://Chase-data.html,https://chaseonline.com/promotional/30YearJumbo/qualification.aspx,0,0,0,0,1,1
53,phishing,account@it.amazon.com,Your Amazon account has been temporarily suspended,"Account suspended 108-4596473-8009841 FF Hello, We were unable to validate important details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended. Please follow the link below to reactivate your account. Repair Link Account Details Account #108-4596473-8009841 Amazon IT Team Conditions of Use Privacy Notice 1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022",www.repair.link.com,Repair Link,1,1,1,1,0,1
54,phishing,account@security.amazon.com,Amazon - Your account has been suspended ! PLEASE RESPOND IMMEDIATELY,"Account suspended ! 108-4596473-8009841 FF Hello, We were unable to validate important details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended. If you do not respond, your account will be terminated. If you do not release your information, we may charge a penalty. Please visit your account details to confirm the payment information for your account. Update Your Payment Method Account Details Account #108-4596473-8009841 Amazon IT Team Conditions of Use Privacy Notice 1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022",http://getdata.com,Update Your Payment Method,1,1,0,1,0,0
55,phishing,account@security.paypal.com,Account Suspension,"Your Account has been locked! You can resolve this now. Case id : 9000321-128. Login attempt from unknown device. Dear Client Someone has accessed your account, so we have temporarily locked it to keep your personal informations in safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else is a violation of PayPals terms. It may also be illegal. To reset your account: 1-Click on the link PayPal-Security.html. 2-Open the page in a browser window secure. 3-Follow the instructions.",PayPal1-Security.html,PayPal-Security.html,0,1,1,1,0,1
56,phishing,account@it.amazon.com,Amazon - Your account has been suspended !,"Account suspended ! 108-4596473-8009841 FF Hello, As one of our valued Amazon customers, we wanted to let you know that your AWS account has been suspended. We were unable to validate important details about your Amazon Web Services (AWS) Account. We wanted to let you know how much we value you as a customer and we want to help you re-establish your account. We know how valuable your time is, but if you are able to take a few moments to verify your payment information, please do so by visiting the following link: Update Your Payment Method Account Details Account #108-4596473-8009841 Again, we are so very sorry for this inconvenience. Sincerely, Amazon IT Team Conditions of Use Privacy Notice 1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022",http://Amazon-Security.html,Update Your Payment Method,0,1,1,1,0,1
57,phishing,account@security.paypal.com,Account Terminated,"Your Account will remain locked for your protection! You must resolve this now by visiting the website below and following the instructions. Case id : 9000321-128. Login attempt from unknown device. Dear Client Someone has accessed your account, so we have temporarily locked it to keep your personal informations in safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else is a violation of PayPals terms. It may also be illegal. To reset your account: 1-Click on the link PayPal-Security.html. 2-Open the page in a browser window secure. 3-Follow the instructions.",PayPal-Security.html,PayPal-Security.html,1,1,1,1,0,1
